Id,Divorce Date,Divorce Type,Nationality Female,DOB Female,Age Female,Occupation Female,Income Female,Marriage Date,Education Female,Employment Female,Marriage Year,Number Children,Zodiac_Sign
291,7/5/04,Voluntary,American,2051/04/27,53.0,Homemaker,4900.0,17/12/73,Secondary School,Employer,30.0,3.0,Taurus
292,7/5/07,Necessary,American,1976/08/05,30.0,Homemaker,6000.0,14/5/04,Secondary School,Employer,2.0,1.0,Leo
293,7/5/08,Necessary,American,1982/03/03,26.0,Homemaker,3000.0,5/6/98,Secondary School,Employer,1.0,2.0,Pisces
294,7/5/09,Necessary,American,1982/08/20,26.0,Homemaker,2500.0,29/1/01,High School,Employer,5.0,1.0,Leo
295,7/5/12,Necessary,American,1987/05/13,24.0,Homemaker,6000.0,18/8/05,Professional,Employer,5.0,1.0,Taurus
296,7/6/02,Voluntary,American,1977/08/15,24.0,Homemaker,750.0,27/12/95,Secondary School,Employer,6.0,1.0,Leo
297,7/6/12,Necessary,American,1980/12/06,31.0,Dentist,4500.0,29/7/04,Professional,Employer,6.0,1.0,Sagittarius
298,7/7/00,Voluntary,American,2069/02/09,30.0,Dentist,10.0,20/12/92,Professional,Employer,1.0,1.0,Aquarius
299,7/7/03,Voluntary,American,2052/08/11,50.0,Graduate,5000.0,17/12/88,Professional,Establishment,14.0,1.0,Leo
300,7/7/06,Necessary,American,1975/01/24,31.0,Homemaker,5000.0,19/12/97,High School,Employer,5.0,2.0,Aquarius
301,7/7/08,Necessary,American,2071/03/17,37.0,Homemaker,2000.0,8/10/94,High School,Employer,13.0,2.0,Pisces
302,7/8/00,Voluntary,American,1974/06/15,26.0,Dentist Surgeon,5000.0,18/8/95,Professional,Employer,4.0,1.0,Gemini
303,7/8/09,Necessary,American,1986/06/09,22.0,Homemaker,2500.0,10/2/05,Secondary School,Employer,4.0,1.0,Gemini
304,7/9/00,Voluntary,American,2063/03/04,37.0,Dentist,5000.0,23/4/94,Professional,Employer,6.0,2.0,Pisces
305,7/9/00,Voluntary,American,2064/09/10,35.0,Secretary,3000.0,11/4/90,Professional,Employer,10.0,2.0,Virgo
306,7/9/06,Necessary,American,1977/03/02,29.0,Homemaker,9100.0,15/7/94,High School,Employer,11.0,2.0,Pisces
307,7/9/07,Necessary,American,1973/03/05,34.0,Psychologist,11000.0,20/1/95,Professional,Employer,12.0,2.0,Pisces
308,7/9/11,Necessary,American,2060/11/05,51.0,Publicist,8000.0,19/1/02,Professional,Employer,9.0,1.0,Scorpio
309,7/10/03,Voluntary,American,2063/09/20,40.0,Homemaker,1500.0,9/3/87,Secondary School,Employer,16.0,2.0,Virgo
310,7/10/03,Voluntary,American,1976/01/09,27.0,Architect,12000.0,17/1/98,Professional,Establishment,5.0,1.0,Capricorn
311,7/10/03,Necessary,American,2068/04/20,35.0,Homemaker,13000.0,16/12/89,Professional,Employer,13.0,3.0,Taurus
312,7/10/08,Necessary,American,2069/10/23,38.0,Homemaker,7500.0,8/12/90,Professional,Employer,17.0,2.0,Scorpio
313,7/11/00,Voluntary,American,2068/08/26,32.0,Homemaker,3000.0,24/10/98,Professional,Employer,2.0,1.0,Virgo
314,7/11/00,Voluntary,American,2062/03/28,38.0,Homemaker,10000.0,20/12/96,Professional,Employer,3.0,2.0,Aries
315,7/11/01,Voluntary,American,1975/07/04,26.0,Homemaker,3000.0,31/5/95,High School,Employer,6.0,2.0,Cancer
316,7/11/07,Necessary,American,2070/09/15,37.0,Secretary,7000.0,24/7/00,Professional,Employer,7.0,2.0,Virgo
317,7/11/11,Necessary,American,2058/08/18,53.0,Homemaker,12000.0,5/12/80,Professional,Employer,20.0,2.0,Leo
318,7/11/12,Necessary,American,1975/09/14,37.0,Homemaker,8000.0,26/4/00,Professional,Employer,12.0,2.0,Virgo
319,7/12/00,Voluntary,American,2071/01/22,29.0,Dentist,1200.0,25/6/92,Professional,Employer,8.0,2.0,Aquarius
320,7/12/06,Necessary,American,2065/10/18,41.0,Homemaker,2000.0,16/12/98,High School,Employer,8.0,2.0,Libra
321,7/12/06,Necessary,American,1976/09/25,30.0,Homemaker,7000.0,19/12/98,Professional,Employer,8.0,1.0,Libra
322,7/12/07,Necessary,American,2069/06/18,38.0,Homemaker,8000.0,22/2/97,Professional,Employer,10.0,2.0,Gemini
